,x,y,z
80,0.5987187804731875,-4.374299549956255e-22,-4.0790188668470385e-23
81,0.5988135704560367,-4.0510770533845435e-22,3.9116311128073096e-24
82,0.5989013474792325,-3.7489515936220786e-22,-2.521612934847529e-23
83,0.5989826303908811,-3.4676398142082804e-22,-4.158763003506903e-23
84,0.5990578996525341,-3.2064418346829392e-22,-4.904915791264289e-23
85,0.5991276001791882,-2.9647330346799165e-22,-4.738746097023775e-23
86,0.5991921439691642,-2.7429505281694575e-22,-2.5960370715272616e-23
87,0.5992519125394247,-2.5396564699778904e-22,-3.983671976598924e-24
88,0.5993072591807093,-2.3510639768731803e-22,-7.348199579574318e-24
89,0.5993585110458308,-2.172681397785813e-22,-4.6594396958883217e-23
90,0.5994059710834674,-2.0070139235051793e-22,-5.1983009309117585e-23
